City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
227,Atambua,-9.1061,124.8925,76.1,88,43,2.8,ID,2022-03-11 23:13:18,scattered clouds
228,Esterhazy,50.65,-102.0843,-1.35,87,11,11.72,CA,2022-03-11 23:15:10,few clouds
229,Katsuura,35.1333,140.3,55.72,54,0,6.87,JP,2022-03-11 23:15:10,clear sky
230,Babu,24.4167,111.5167,70.25,76,98,2.62,CN,2022-03-11 23:15:11,overcast clouds
231,Cabo San Lucas,22.8909,-109.9124,76.6,57,0,8.05,MX,2022-03-11 23:15:11,clear sky
232,Bhag,29.0415,67.8239,79.39,34,1,2.15,PK,2022-03-11 23:15:12,clear sky
233,Lata,40.1629,-8.3327,47.07,94,14,2.35,PT,2022-03-11 23:15:12,few clouds
234,Magalia,39.8121,-121.5783,63.95,32,7,1.99,US,2022-03-11 23:11:18,clear sky
235,Buala,-8.145,159.5921,84.02,72,83,4.88,SB,2022-03-11 23:15:13,light rain
236,Broome,42.2506,-75.833,47.35,67,20,6.91,US,2022-03-11 23:15:13,few clouds
237,Belmonte,-15.8631,-38.8828,78.33,81,20,6.22,BR,2022-03-11 23:15:14,few clouds
238,Morgan City,29.6994,-91.2068,72.0,88,100,5.75,US,2022-03-11 23:14:37,overcast clouds
239,Popondetta,-8.7537,148.2534,85.1,63,100,1.07,PG,2022-03-11 23:15:14,overcast clouds
240,Parsons,37.3403,-95.2611,34.09,63,100,12.37,US,2022-03-11 23:15:15,overcast clouds
241,Codrington,-38.2667,141.9667,58.96,61,2,7.52,AU,2022-03-11 23:15:15,clear sky
242,Trincomalee,8.5711,81.2335,79.74,81,75,6.06,LK,2022-03-11 23:15:15,broken clouds
243,Pendleton,45.6721,-118.7886,61.39,32,100,3.44,US,2022-03-11 23:12:49,overcast clouds
244,Pacifica,37.6138,-122.4869,75.42,52,20,10.36,US,2022-03-11 23:14:23,few clouds
245,Salinopolis,-0.6136,-47.3561,74.35,94,100,3.76,BR,2022-03-11 23:14:34,overcast clouds
246,Pala,9.3642,14.9046,80.74,18,40,5.86,TD,2022-03-11 23:15:16,scattered clouds
247,Khatanga,71.9667,102.5,-28.91,99,95,5.19,RU,2022-03-11 23:15:17,overcast clouds
248,Fortuna,40.5982,-124.1573,64.85,68,0,13.8,US,2022-03-11 23:15:17,clear sky
249,Kurumkan,54.3,110.3,-1.84,88,100,4.45,RU,2022-03-11 23:15:18,overcast clouds
250,Gizo,-8.103,156.8419,83.79,65,99,4.54,SB,2022-03-11 23:15:18,overcast clouds
251,Namatanai,-3.6667,152.4333,84.0,62,95,5.12,PG,2022-03-11 23:15:19,overcast clouds
252,Kenai,60.5544,-151.2583,41.02,90,100,4.61,US,2022-03-11 23:15:19,overcast clouds
253,Skjervoy,70.0311,20.9714,39.36,91,100,13.09,NO,2022-03-11 23:15:20,overcast clouds
254,Ixtapa,20.7,-105.2,74.43,64,0,13.8,MX,2022-03-11 23:15:21,clear sky
255,Barentu,15.1139,37.5928,69.78,64,58,4.65,ER,2022-03-11 23:15:21,broken clouds
256,Kholodnyy,62.7167,147.95,-0.56,94,100,2.46,RU,2022-03-11 23:15:22,overcast clouds
257,Warmbad,-28.45,18.7333,77.32,62,81,7.94,NA,2022-03-11 23:15:22,broken clouds
258,Magaramkent,41.6159,48.348,31.03,94,92,3.27,RU,2022-03-11 23:15:23,overcast clouds
259,Tieling,42.2931,123.8414,37.85,35,100,4.92,CN,2022-03-11 23:15:23,overcast clouds
