City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Cairns,AU,86.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
76,Hasaki,JP,50.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
77,Hualmay,PE,74.52,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
85,Isla Vista,US,74.91,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
86,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
87,Praia Da Vitoria,PT,59.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
89,Puerto Leguizamo,CO,79.21,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
91,Shakawe,BW,68.58,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
92,San Patricio,US,53.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
93,Miraflores,MX,81.25,broken clouds,19.2167,-98.8083,Hotel Mansión
96,Tuatapere,NZ,58.66,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
98,Butaritari,KI,81.16,light rain,3.0707,172.7902,Isles Sunset Lodge
100,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
101,Bredasdorp,ZA,74.41,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
102,Cravo Norte,CO,88.61,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
105,Broken Hill,AU,70.29,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
106,Mangrol,IN,77.27,clear sky,21.1167,70.1167,Hotel The Royal Honours
108,Puerto Ayora,EC,80.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
111,Hithadhoo,MV,82.13,few clouds,-0.6,73.0833,Scoop Guest House
112,Port Lincoln,AU,67.82,clear sky,-34.7333,135.8667,Port Lincoln Hotel
113,Manggar,ID,77.92,overcast clouds,-2.8833,108.2667,Guest Hotel
114,Melo,UY,63.86,few clouds,-32.3667,-54.1833,Hotel Juana
115,Kaitangata,NZ,60.35,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
